event_type,order_id,customer_id,customer_name,city,product_id,product_name,category,unit_price,quantity,total_amount,status,platform,ingested_at,event_timestamp,event_date,event_hour,event_year,event_month,processed_at
order,ORD-63067,463,Logan Srivastava,BENGALURU,6,Coffee,Grocery,450.0,3,1350.0,shipped,app,2026-03-15T11:13:00.007Z,2026-03-15T11:12:29.407Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-90532,285,Christopher Varma,DELHI,8,Desk,Furniture,8000.0,1,8000.0,placed,app,2026-03-15T11:13:00.007Z,2026-03-15T11:12:33.557Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-50883,305,Leena Subramaniam,DELHI,1,Laptop,Electronics,45000.0,4,180000.0,delivered,web,2026-03-15T11:13:00.007Z,2026-03-15T11:12:37.727Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-29359,88,Unni Mitra,CHENNAI,2,Phone,Electronics,15000.0,1,15000.0,delivered,web,2026-03-15T11:13:00.007Z,2026-03-15T11:12:41.865Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-13755,140,Raghav Kala,HYDERABAD,7,Chair,Furniture,4500.0,4,18000.0,cancelled,web,2026-03-15T11:13:00.007Z,2026-03-15T11:12:46.014Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-85877,433,Charles Saini,DELHI,1,Laptop,Electronics,45000.0,3,135000.0,confirmed,web,2026-03-15T11:13:00.007Z,2026-03-15T11:12:50.140Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-94443,280,Bishakha Majumdar,HYDERABAD,2,Phone,Electronics,15000.0,1,15000.0,shipped,mobile,2026-03-15T11:13:00.007Z,2026-03-15T11:12:54.327Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-26691,368,Om Suri,HYDERABAD,3,T-Shirt,Clothing,599.0,1,599.0,cancelled,web,2026-03-15T11:13:00.007Z,2026-03-15T11:12:58.474Z,2026-03-15,11,2026,3,2026-03-15T11:32:29.282Z
order,ORD-49435,242,Vamakshi Rao,MUMBAI,8,Desk,Furniture,8000.0,1,8000.0,confirmed,web,2026-03-15T10:57:30.009Z,2026-03-15T10:56:59.806Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-27008,234,Damyanti Seshadri,BENGALURU,2,Phone,Electronics,15000.0,5,75000.0,cancelled,mobile,2026-03-15T10:57:30.009Z,2026-03-15T10:57:03.953Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-50057,484,Rajata Dasgupta,MUMBAI,5,Rice 5kg,Grocery,350.0,5,1750.0,placed,app,2026-03-15T10:57:30.009Z,2026-03-15T10:57:08.097Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-32896,155,Frado Gole,BENGALURU,8,Desk,Furniture,8000.0,5,40000.0,shipped,web,2026-03-15T10:57:30.009Z,2026-03-15T10:57:12.241Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
order,ORD-89285,391,Nidhi Dyal,HYDERABAD,2,Phone,Electronics,15000.0,5,75000.0,delivered,web,2026-03-15T10:57:30.009Z,2026-03-15T10:57:16.406Z,2026-03-15,10,2026,3,2026-03-15T11:32:29.282Z
